ID,Name,IsTestObject,Active,Type,IsCommercial,ChargesRCC,PCE,CO2,CustomerChg,DemandCharge,NameShort,Blocks
587,Kobuk Valley Electric - Commercial - Lg,0,1,1,1,0,,,,0.0,Kobuk ,"[(1500.0, nan), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
588,Kodiak Electric Assn - Commercial - Lg,0,1,1,1,0,,0.004386014,50.0,5.67,Kodiak,"[(20000.0, 0.1709), (nan, 0.156), (nan, nan), (nan, nan), (nan, nan)]"
589,Kokhanok Village Council - Commercial - Lg,0,1,1,1,0,0.6408,2.299731,10.0,0.0,Kokhan,"[(nan, 0.84), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
590,Koliganek Village Council - Commercial - Lg,0,1,1,1,0,0.3008,2.111816,21.4,0.0,Koliga,"[(nan, 0.5), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
591,AVEC- Kotlik - Commercial - Lg,0,1,1,1,0,0.4163,1.75359,60.0,45.0,AVEC- ,"[(1500.0, 0.4628), (nan, 0.36679999999999996), (nan, nan), (nan, nan), (nan, nan)]"
592,Kotzebue Electric Assn - Commercial - Lg,0,1,1,1,0,0.2617,1.469073,100.0,5.52,Kotzeb,"[(nan, 0.4072), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
593,"Koyukuk, City of - Commercial - Lg",0,1,1,1,0,0.6501,3.577778,,0.0,Koyuku,"[(nan, 0.95), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
594,Kuiggluum Kallugvia - Commercial - Lg,0,1,1,1,0,0.4208,2.311544,,0.0,Kuiggl,"[(nan, 0.62), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
595,Kwig Power Company - Commercial - Lg,0,1,1,1,0,0.3543,1.790428,,0.0,Kwig P,"[(nan, 0.67), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
596,Larsen Bay Electric - Commercial - Lg,0,1,1,1,0,0.0001,0.1805789,0.0,0.0,Larsen,"[(nan, 0.41), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
597,Levelock Electric Cooperativ - Commercial - Lg,0,1,1,1,0,0.7608,2.528538,0.0,0.0,Levelo,"[(nan, 0.96), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
